Current (pA),Frequency (Hz)
0.0,0.6666666666666666
6.030150753768844e-11,0.6666666666666666
1.2060301507537688e-10,0.6666666666666666
1.809045226130653e-10,0.6666666666666666
2.4120603015075375e-10,0.6666666666666666
3.015075376884422e-10,0.6666666666666666
3.618090452261306e-10,0.6666666666666666
4.2211055276381905e-10,0.6666666666666666
4.824120603015075e-10,0.6666666666666666
5.42713567839196e-10,0.6666666666666666
6.030150753768844e-10,0.6666666666666666
6.633165829145729e-10,0.6666666666666666
7.236180904522612e-10,0.6666666666666666
7.839195979899497e-10,0.6666666666666666
8.442211055276381e-10,10.666666666666666
9.045226130653266e-10,23.666666666666668
9.64824120603015e-10,32.333333333333336
1.0251256281407035e-09,45.666666666666664
1.085427135678392e-09,54.666666666666664
1.1457286432160804e-09,64.0
1.2060301507537688e-09,72.33333333333333
1.2663316582914573e-09,80.33333333333333
1.3266331658291457e-09,88.0
1.3869346733668342e-09,96.33333333333333
1.4472361809045224e-09,101.33333333333333
1.5075376884422109e-09,109.0
1.5678391959798993e-09,116.33333333333333
1.6281407035175878e-09,122.33333333333333
1.6884422110552762e-09,128.0
1.7487437185929647e-09,134.33333333333334
1.8090452261306531e-09,139.66666666666666
1.8693467336683418e-09,145.33333333333334
1.92964824120603e-09,151.33333333333334
1.9899497487437183e-09,156.66666666666666
2.050251256281407e-09,161.0
2.110552763819095e-09,165.0
2.170854271356784e-09,171.66666666666666
2.231155778894472e-09,175.66666666666666
2.2914572864321607e-09,180.66666666666666
2.351758793969849e-09,185.33333333333334
2.4120603015075376e-09,189.66666666666666
2.472361809045226e-09,193.66666666666666
2.5326633165829145e-09,200.66666666666666
2.5929648241206028e-09,201.33333333333334
2.6532663316582914e-09,206.0
2.7135678391959797e-09,209.0
2.7738693467336683e-09,207.66666666666666
2.8341708542713566e-09,216.33333333333334
2.894472361809045e-09,220.66666666666666
2.9547738693467335e-09,223.33333333333334
3.0150753768844217e-09,227.0
3.0753768844221104e-09,230.33333333333334
3.1356783919597986e-09,233.33333333333334
3.1959798994974873e-09,235.66666666666666
3.2562814070351755e-09,241.0
3.316582914572864e-09,242.66666666666666
3.3768844221105524e-09,246.33333333333334
3.437185929648241e-09,248.0
3.4974874371859293e-09,252.33333333333334
3.557788944723618e-09,255.66666666666666
3.6180904522613062e-09,258.0
3.678391959798995e-09,261.0
3.7386934673366836e-09,264.3333333333333
3.798994974874371e-09,267.0
3.85929648241206e-09,269.3333333333333
3.919597989949749e-09,271.6666666666667
3.9798994974874365e-09,274.3333333333333
4.040201005025125e-09,278.3333333333333
4.100502512562814e-09,279.0
4.1608040201005025e-09,282.6666666666667
4.22110552763819e-09,285.0
4.281407035175879e-09,287.6666666666667
4.341708542713568e-09,290.0
4.402010050251256e-09,292.0
4.462311557788944e-09,295.0
4.522613065326633e-09,299.3333333333333
4.5829145728643215e-09,299.6666666666667
4.64321608040201e-09,302.0
4.703517587939698e-09,304.3333333333333
4.763819095477387e-09,308.6666666666667
4.824120603015075e-09,310.0
4.884422110552763e-09,312.0
4.944723618090452e-09,314.3333333333333
5.00502512562814e-09,317.0
5.065326633165829e-09,319.0
5.125628140703517e-09,321.3333333333333
5.1859296482412056e-09,324.0
5.246231155778894e-09,323.3333333333333
5.306532663316583e-09,328.0
5.366834170854271e-09,327.3333333333333
5.427135678391959e-09,333.0
5.487437185929648e-09,334.6666666666667
5.547738693467337e-09,337.0
5.6080402010050245e-09,339.3333333333333
5.668341708542713e-09,340.3333333333333
5.728643216080402e-09,343.6666666666667
5.78894472361809e-09,345.3333333333333
5.849246231155778e-09,348.0
5.909547738693467e-09,350.0
5.969849246231156e-09,353.0
6.0301507537688435e-09,355.0
6.090452261306532e-09,356.3333333333333
6.150753768844221e-09,358.3333333333333
6.2110552763819094e-09,360.3333333333333
6.271356783919597e-09,363.6666666666667
6.331658291457286e-09,365.6666666666667
6.3919597989949746e-09,368.0
6.452261306532663e-09,368.6666666666667
6.512562814070351e-09,371.6666666666667
6.57286432160804e-09,373.3333333333333
6.633165829145728e-09,376.0
6.693467336683417e-09,378.6666666666667
6.753768844221105e-09,380.3333333333333
6.8140703517587935e-09,381.6666666666667
6.874371859296482e-09,385.0
6.93467336683417e-09,386.3333333333333
6.994974874371859e-09,389.0
7.055276381909547e-09,391.0
7.115577889447236e-09,393.0
7.175879396984924e-09,389.3333333333333
7.2361809045226125e-09,397.6666666666667
7.296482412060301e-09,400.0
7.35678391959799e-09,402.6666666666667
7.417085427135678e-09,404.0
7.477386934673367e-09,405.3333333333333
7.537688442211054e-09,408.6666666666667
7.597989949748743e-09,411.3333333333333
7.658291457286431e-09,404.0
7.71859296482412e-09,415.0
7.778894472361809e-09,415.6666666666667
7.839195979899497e-09,417.3333333333333
7.899497487437186e-09,421.0
7.959798994974873e-09,422.6666666666667
8.020100502512562e-09,424.6666666666667
8.08040201005025e-09,426.3333333333333
8.140703517587939e-09,428.3333333333333
8.201005025125628e-09,431.6666666666667
8.261306532663316e-09,433.3333333333333
8.321608040201005e-09,435.0
8.381909547738694e-09,437.0
8.44221105527638e-09,439.6666666666667
8.50251256281407e-09,441.6666666666667
8.562814070351758e-09,444.3333333333333
8.623115577889447e-09,446.6666666666667
8.683417085427135e-09,448.3333333333333
8.743718592964824e-09,451.0
8.804020100502513e-09,454.0
8.8643216080402e-09,454.6666666666667
8.924623115577888e-09,457.3333333333333
8.984924623115577e-09,458.6666666666667
9.045226130653266e-09,462.0
9.105527638190954e-09,463.3333333333333
9.165829145728643e-09,466.3333333333333
9.226130653266332e-09,468.0
9.28643216080402e-09,470.6666666666667
9.346733668341707e-09,472.6666666666667
9.407035175879396e-09,474.6666666666667
9.467336683417085e-09,477.3333333333333
9.527638190954773e-09,481.6666666666667
9.587939698492462e-09,483.6666666666667
9.64824120603015e-09,484.3333333333333
9.70854271356784e-09,487.3333333333333
9.768844221105526e-09,486.3333333333333
9.829145728643215e-09,490.6666666666667
9.889447236180904e-09,493.0
9.949748743718592e-09,495.3333333333333
1.001005025125628e-08,497.6666666666667
1.007035175879397e-08,500.3333333333333
1.0130653266331658e-08,502.6666666666667
1.0190954773869347e-08,505.0
1.0251256281407034e-08,503.6666666666667
1.0311557788944722e-08,509.0
1.0371859296482411e-08,512.0
1.04321608040201e-08,514.3333333333334
1.0492462311557788e-08,517.6666666666666
1.0552763819095477e-08,518.0
1.0613065326633166e-08,522.0
1.0673366834170853e-08,523.0
1.0733668341708541e-08,526.3333333333334
1.079396984924623e-08,529.6666666666666
1.0854271356783919e-08,531.3333333333334
1.0914572864321607e-08,534.3333333333334
1.0974874371859296e-08,536.0
1.1035175879396985e-08,538.6666666666666
1.1095477386934673e-08,540.6666666666666
1.115577889447236e-08,540.0
1.1216080402010049e-08,548.6666666666666
1.1276381909547738e-08,550.3333333333334
1.1336683417085426e-08,547.3333333333334
1.1396984924623115e-08,558.6666666666666
1.1457286432160804e-08,557.0
1.1517587939698492e-08,560.3333333333334
1.157788944723618e-08,562.6666666666666
1.1638190954773868e-08,565.6666666666666
1.1698492462311557e-08,569.0
1.1758793969849245e-08,570.6666666666666
1.1819095477386934e-08,574.0
1.1879396984924623e-08,577.3333333333334
1.1939698492462311e-08,580.0
1.2e-08,583.0
