Current (pA),Frequency (Hz)
0.0,1
2.0202020202020203,1
4.040404040404041,2
6.0606060606060606,2
8.080808080808081,58
10.101010101010102,64
12.121212121212121,68
14.141414141414142,72
16.161616161616163,75
18.181818181818183,78
20.202020202020204,81
22.222222222222225,83
24.242424242424242,85
26.262626262626263,87
28.282828282828284,89
30.303030303030305,91
32.323232323232325,93
34.343434343434346,95
36.36363636363637,97
38.38383838383839,98
40.40404040404041,100
42.42424242424243,101
44.44444444444445,103
46.46464646464647,104
48.484848484848484,105
50.505050505050505,107
52.525252525252526,108
54.54545454545455,109
56.56565656565657,110
58.58585858585859,112
60.60606060606061,113
62.62626262626263,114
64.64646464646465,115
66.66666666666667,116
68.68686868686869,117
70.70707070707071,118
72.72727272727273,119
74.74747474747475,120
76.76767676767678,121
78.7878787878788,122
80.80808080808082,123
82.82828282828284,124
84.84848484848486,125
86.86868686868688,125
88.8888888888889,126
90.90909090909092,127
92.92929292929294,128
94.94949494949496,129
96.96969696969697,129
98.98989898989899,130
101.01010101010101,131
103.03030303030303,132
105.05050505050505,132
107.07070707070707,74
109.0909090909091,2
111.11111111111111,2
113.13131313131314,2
115.15151515151516,2
117.17171717171718,2
119.1919191919192,2
121.21212121212122,1
123.23232323232324,1
125.25252525252526,1
127.27272727272728,1
129.2929292929293,1
131.31313131313132,1
133.33333333333334,1
135.35353535353536,1
137.37373737373738,1
139.3939393939394,1
141.41414141414143,1
143.43434343434345,1
145.45454545454547,1
147.4747474747475,1
149.4949494949495,1
151.51515151515153,1
153.53535353535355,1
155.55555555555557,1
157.5757575757576,1
159.5959595959596,1
161.61616161616163,1
163.63636363636365,1
165.65656565656568,1
167.6767676767677,1
169.69696969696972,1
171.71717171717174,1
173.73737373737376,1
175.75757575757578,1
177.7777777777778,1
179.79797979797982,1
181.81818181818184,1
183.83838383838386,1
185.85858585858588,1
187.8787878787879,1
189.89898989898992,1
191.91919191919195,1
193.93939393939394,1
195.95959595959596,1
197.97979797979798,1
200.0,1
