Current (pA),Frequency (Hz)
0.0,1
0.40080160320641284,1
0.8016032064128257,1
1.2024048096192386,1
1.6032064128256514,1
2.0040080160320644,1
2.404809619238477,1
2.80561122244489,1
3.2064128256513027,1
3.6072144288577155,1
4.008016032064129,1
4.408817635270541,1
4.809619238476954,1
5.210420841683367,1
5.61122244488978,1
6.012024048096192,1
6.412825651302605,1
6.813627254509019,1
7.214428857715431,1
7.615230460921844,1
8.016032064128257,1
8.41683366733467,1
8.817635270541082,1
9.218436873747494,1
9.619238476953909,1
10.02004008016032,1
10.420841683366733,1
10.821643286573147,1
11.22244488977956,1
11.623246492985972,1
12.024048096192384,1
12.424849699398798,1
12.82565130260521,1
13.226452905811623,1
13.627254509018037,1
14.02805611222445,1
14.428857715430862,1
14.829659318637274,1
15.230460921843688,1
15.6312625250501,1
16.032064128256515,1
16.432865731462925,1
16.83366733466934,1
17.234468937875754,1
17.635270541082164,1
18.03607214428858,1
18.43687374749499,1
18.837675350701403,1
19.238476953907817,1
19.639278557114228,1
20.04008016032064,1
20.440881763527056,1
20.841683366733466,1
21.24248496993988,1
21.643286573146295,1
22.044088176352705,1
22.44488977955912,1
22.845691382765533,1
23.246492985971944,1
23.647294589178358,1
24.04809619238477,1
24.448897795591183,1
24.849699398797597,1
25.250501002004007,1
25.65130260521042,1
26.052104208416836,1
26.452905811623246,1
26.85370741482966,1
27.254509018036075,1
27.655310621242485,1
28.0561122244489,1
28.45691382765531,1
28.857715430861724,1
29.258517034068138,1
29.65931863727455,1
30.060120240480963,1
30.460921843687377,1
30.861723446893787,1
31.2625250501002,1
31.663326653306616,1
32.06412825651303,1
32.46492985971944,1
32.86573146292585,1
33.26653306613227,1
33.66733466933868,1
34.06813627254509,1
34.46893787575151,1
34.86973947895792,1
35.27054108216433,1
35.671342685370746,1
36.07214428857716,1
36.47294589178357,1
36.87374749498998,1
37.274549098196395,1
37.675350701402806,1
38.07615230460922,1
38.476953907815634,1
38.877755511022045,1
39.278557114228455,1
39.67935871743487,1
40.08016032064128,2
40.480961923847694,4
40.88176352705411,5
41.28256513026052,6
41.68336673346693,7
42.08416833667335,7
42.48496993987976,8
42.88577154308617,9
43.28657314629259,9
43.687374749499,9
44.08817635270541,10
44.48897795591183,10
44.88977955911824,10
45.29058116232465,11
45.69138276553107,11
46.09218436873748,11
46.49298597194389,12
46.8937875751503,12
47.294589178356716,12
47.69539078156313,12
48.09619238476954,13
48.496993987975955,13
48.897795591182366,13
49.298597194388776,13
49.699398797595194,14
50.100200400801604,14
50.501002004008015,14
50.90180360721443,14
51.30260521042084,14
51.703406813627254,15
52.10420841683367,15
52.50501002004008,15
52.90581162324649,15
53.30661322645291,15
53.70741482965932,15
54.10821643286573,16
54.50901803607215,16
54.90981963927856,16
55.31062124248497,16
55.71142284569139,16
56.1122244488978,16
56.51302605210421,16
56.91382765531062,17
57.31462925851704,17
57.71543086172345,17
58.11623246492986,17
58.517034068136276,17
58.91783567134269,17
59.3186372745491,17
59.719438877755515,17
60.120240480961925,18
60.521042084168336,18
60.92184368737475,18
61.322645290581164,18
61.723446893787575,18
62.12424849699399,18
62.5250501002004,18
62.92585170340681,18
63.32665330661323,18
63.72745490981964,19
64.12825651302606,19
64.52905811623246,19
64.92985971943888,19
65.3306613226453,19
65.7314629258517,19
66.13226452905812,19
66.53306613226454,19
66.93386773547094,19
