Current (pA),Frequency (Hz)
0.0,0
10.050251256281408,0
20.100502512562816,0
30.150753768844226,0
40.20100502512563,1
50.25125628140704,11
60.30150753768845,25
70.35175879396985,38
80.40201005025126,52
90.45226130653268,67
100.50251256281408,81
110.55276381909549,96
120.6030150753769,110
130.6532663316583,124
140.7035175879397,139
150.75376884422113,153
160.80402010050253,168
170.85427135678393,182
180.90452261306535,196
190.95477386934675,211
201.00502512562815,225
211.05527638190958,239
221.10552763819098,253
231.15577889447238,268
241.2060301507538,282
251.2562814070352,296
261.3065326633166,310
271.356783919598,324
281.4070351758794,338
291.45728643216086,352
301.50753768844226,366
311.55778894472365,380
321.60804020100505,394
331.65829145728645,408
341.70854271356785,423
351.75879396984925,436
361.8090452261307,450
371.8592964824121,464
381.9095477386935,478
391.9597989949749,492
402.0100502512563,506
412.0603015075377,520
422.11055276381916,534
432.16080402010056,548
442.21105527638196,562
452.26130653266335,576
462.31155778894475,589
472.36180904522615,603
482.4120603015076,617
492.462311557789,631
502.5125628140704,645
512.5628140703518,659
522.6130653266332,672
532.6633165829146,686
542.713567839196,700
552.7638190954774,714
562.8140703517588,727
572.8643216080402,741
582.9145728643217,755
592.9648241206031,769
603.0150753768845,782
613.0653266331659,796
623.1155778894473,810
633.1658291457287,823
643.2160804020101,837
653.2663316582915,850
663.3165829145729,864
673.3668341708543,878
683.4170854271357,891
693.4673366834171,905
703.5175879396985,919
713.56783919598,932
723.6180904522614,946
733.6683417085428,960
743.7185929648242,973
753.7688442211056,987
763.819095477387,1000
773.8693467336684,1015
783.9195979899498,1027
793.9698492462312,1041
804.0201005025126,1054
814.070351758794,1068
824.1206030150754,1082
834.1708542713568,1096
844.2211055276383,1108
854.2713567839197,1122
864.3216080402011,1136
874.3718592964825,1150
884.4221105527639,1163
894.4723618090453,1177
904.5226130653267,1190
914.5728643216081,1204
924.6231155778895,1217
934.6733668341709,1231
944.7236180904523,1244
954.7738693467337,1258
964.8241206030152,1271
974.8743718592966,1284
984.924623115578,1297
994.9748743718594,1310
1005.0251256281408,1323
1015.0753768844222,1339
1025.1256281407036,1352
1035.175879396985,1365
1045.2261306532664,1378
1055.2763819095478,1391
1065.3266331658292,1406
1075.3768844221106,1418
1085.427135678392,1431
1095.4773869346734,1446
1105.5276381909548,1459
1115.5778894472362,1471
1125.6281407035176,1485
1135.678391959799,1499
1145.7286432160804,1511
1155.7788944723618,1526
1165.8291457286434,1539
1175.8793969849248,1551
1185.9296482412062,1566
1195.9798994974876,1578
1206.030150753769,1593
1216.0804020100504,1605
1226.1306532663318,1618
1236.1809045226132,1632
1246.2311557788946,1644
1256.281407035176,1659
1266.3316582914574,1670
1276.3819095477388,1686
1286.4321608040202,1697
1296.4824120603016,1712
1306.532663316583,1724
1316.5829145728644,1739
1326.6331658291458,1750
1336.6834170854272,1765
1346.7336683417086,1776
1356.78391959799,1791
1366.8341708542714,1805
1376.8844221105528,1817
1386.9346733668342,1832
1396.9849246231156,1843
1407.035175879397,1858
1417.0854271356786,1869
1427.13567839196,1884
1437.1859296482414,1899
1447.2361809045228,1909
1457.2864321608042,1925
1467.3366834170856,1935
1477.386934673367,1950
1487.4371859296484,1965
1497.4874371859298,1975
1507.5376884422112,1990
1517.5879396984926,2005
1527.638190954774,2015
1537.6884422110554,2030
1547.7386934673368,2043
1557.7889447236182,2054
1567.8391959798996,2070
1577.889447236181,2082
1587.9396984924624,2094
1597.9899497487438,2109
1608.0402010050252,2123
1618.0904522613066,2133
1628.140703517588,2148
1638.1909547738694,2163
1648.2412060301508,2172
1658.2914572864322,2187
1668.3417085427136,2202
1678.3919597989952,2210
1688.4422110552766,2225
1698.492462311558,2241
1708.5427135678394,2254
1718.5929648241208,2264
1728.6432160804022,2279
1738.6934673366836,2294
1748.743718592965,2303
1758.7939698492464,2317
1768.8442211055278,2332
1778.8944723618092,2347
1788.9447236180906,2354
1798.994974874372,2369
1809.0452261306534,2384
1819.0954773869348,2400
1829.1457286432162,2406
1839.1959798994976,2421
1849.246231155779,2437
1859.2964824120604,2452
1869.3467336683418,2459
1879.3969849246232,2473
1889.4472361809046,2488
1899.497487437186,2503
1909.5477386934674,2516
1919.5979899497488,2524
1929.6482412060304,2539
1939.6984924623118,2555
1949.7487437185932,2570
1959.7989949748746,2576
1969.849246231156,2590
1979.8994974874374,2605
1989.9497487437188,2620
2000.0,2635
